Title,Published At,Duration,View Count,Like Count,Dislike Count,Channel Title,Channel ID,Description,Tags,Category ID,Comment Count,Favorite Count
Harry Potter: The Most Powerful Man in Skyrim,2016-11-17T16:24:54Z,PT15M40S,251576,6731,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"He is the aplha and the omega. The beginning and the end.

New videos every week!

Facebook: https://www.facebook.com/cosmonautvarietyhour
Twitter: https://twitter.com/cosmovarietyhr","gaming,cosmonaut variety hour,cosmonaut,video games,lets play,commentary,skyrim,harry potter,mods,remastered,ps4,playstation",20,219,0
Putt Putt Travels Through Time - Buddy Cop Hour,2016-11-10T20:32:42Z,PT11M8S,44532,1393,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"New videos every week!

Facebook: https://www.facebook.com/cosmonautvarietyhour
Twitter: https://twitter.com/cosmovarietyhr","gaming,cosmonaut variety hour,cosmonaut,video games,lets play,commentary,buddy cop,dan and marcus,putt putt,putt putt travels through time,humongous",20,69,0
Most Hated Character in Overwatch - Cosmonaut Variety Hour,2016-11-03T17:34:10Z,PT6M46S,648215,18462,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"New videos every week!

Facebook: https://www.facebook.com/cosmonautvarietyhour
Twitter: https://twitter.com/cosmovarietyhr","gaming,cosmonaut variety hour,cosmonaut,video games,lets play,commentary,overwatch,mei,worst character,most hated,ps4,console,blizzard",20,1364,0
Marcus Plays Castlevania! - Cosmonaut Live Highlights,2016-10-31T18:21:25Z,PT22M15S,72457,2204,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"Originally aired Oct. 22, 2016
Marcus has a son, masters death, and eats cookies. All in a mere 11 hours!
Guest Stars: Dan, Meghan, Jacki, Pocket-Son, Death

Facebook: https://www.facebook.com/cosmonautvarietyhour
Twitter: https://twitter.com/cosmovarietyhr","gaming,cosmonaut variety hour,cosmonaut,video games,lets play,commentary,death,castlevania,NES,nintendo,pocket son,skeletons,live stream,cosmonaut live,full playthrough",20,111,0
Maphia Three - Vidja Games Hour,2016-10-19T20:57:20Z,PT5M26S,139167,4199,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"Music:
Bee Jam Blues - Gitaroo Man
Sergio Mendes & Brasil '66

New videos every week!

Facebook: https://www.facebook.com/cosmonautvarietyhour
Twitter: https://twitter.com/cosmovarietyhr","gaming,cosmonaut variety hour,cosmonaut,video games,lets play,commentary,mafia 3,ps4,mafia",20,109,0
Stardew Valley - Sleepy Time With Meghan FACECAM EDITION,2016-10-18T02:15:35Z,PT5M23S,20333,610,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"New videos every week!

Facebook: https://www.facebook.com/cosmonautvarietyhour
Twitter: https://twitter.com/cosmovarietyhr","gaming,cosmonaut variety hour,cosmonaut,video games,lets play,commentary,stardew valley,steam,sleepy time,meghan",20,N/A,0
Shrek 2 - Designated Driving,2016-10-13T19:27:29Z,PT6M32S,60539,1511,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"New videos every week!

Facebook: https://www.facebook.com/cosmonautvarietyhour
Twitter: https://twitter.com/cosmovarietyhr","gaming,cosmonaut variety hour,cosmonaut,video games,lets play,commentary,shrek 2,shrek,shrek is love,shrek is life,play station 2",20,61,0
Shrek Super Slam - Designated Driving,2016-10-06T21:10:23Z,PT8M8S,48090,1432,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"New videos every week!

Facebook: https://www.facebook.com/cosmonautvarietyhour
Twitter: https://twitter.com/cosmovarietyhr","gaming,cosmonaut variety hour,cosmonaut,video games,lets play,commentary,shrek,shrek super slam,shrektober",20,64,0
Sleepy Time With Meghan - Silent Hill FINALE,2016-10-03T23:54:14Z,PT5M37S,8317,269,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"New Sleepy Time videos every Monday!

Facebook: https://www.facebook.com/cosmonautvarietyhour
Twitter: https://twitter.com/cosmovarietyhr","gaming,cosmonaut variety hour,cosmonaut,video games,lets play,commentary,silent hill,ASMR,ps1",20,25,0
Silent Hill - Sleepy Time With Meghan,2016-09-25T22:04:47Z,PT7M24S,14623,478,N/A,The Cosmonaut Variety Hour,UCqTYHSnBUXZamsVcOlQf-fg,"New videos every week!

Facebook: https://www.facebook.com/cosmonautvarietyhour
Twitter: https://twitter.com/cosmovarietyhr","gaming,cosmonaut variety hour,cosmonaut,video games,lets play,commentary,silent hill,playstation,original,sleepy time,meghan",20,29,0
